Code,Description,Unit,,,Category
OHLAB,Overhead Door Installer - per hour,HR,#ERROR!,$57.87,
OHO,Overhead (garage) door opener,EA,&,$306.88,
OHO-,Overhead (garage) door opener - Standard grade,EA,&,$275.38,
OHO+,Overhead (garage) door opener - High grade,EA,&,$326.88,
OHO++,Overhead (garage) door opener - Premium grade,EA,&,$371.88,
OHOCH,Commercial overhead door opener - Hoist/jack-shaft type,EA,&,$672.22,
OHOCH+,Comm. overhead door opener - Hoist/jackshaft - Heavy duty,EA,&,"$1,551.72",
OHOCT,Commercial overhead door opener - Trolley type,EA,&,$606.72,
OHOCT+,Comm. overhead door opener - Trolley type - Heavy duty,EA,&,"$1,381.72",
OHOKP,Keyless entry pad for overhead door opener,EA,&,$61.71,
OHORM,Remote unit for overhead door opener,EA,#ERROR!,$28.31,
OHORS,Overhead (garage) door opener - Detach & reset,EA,#ERROR!,$130.69,
OHOS,Overhead (garage) door opener - sensors only (per pair),EA,&,$64.69,
OHRP,Overhead door panel - up to 12',EA,&,$228.75,
OHRP+,Overhead door panel - up to 12' - High grade,EA,&,$241.75,
OHRP++,Overhead door panel - up to 12' - Premium grade,EA,&,$267.08,
OHRP++>,Overhead door panel - 13' to 18' - Premium grade,EA,&,$331.85,
OHRP+>,Overhead door panel - 13' to 18' - High grade,EA,&,$267.19,
OHRP>,Overhead door panel - 13' to 18',EA,&,$246.86,
OHRRL,Overhead door - rollers only (per pair),EA,&,$15.28,
OHRS,Overhead door - Detach & reset,EA,#ERROR!,$217.82,
OHRS>,Overhead door - Detach & reset - Large,EA,#ERROR!,$284.91,
OHS10,"Overhead door, 10' x 7' - softwood overlay",EA,&,"$3,925.83",
OHS10>,"Overhead door, 10' x 8' - softwood overlay",EA,&,"$4,457.51",
OHS12,"Overhead door, 12' x 7' - softwood overlay",EA,&,"$4,249.67",
OHS12>,"Overhead door, 12' x 8' - softwood overlay",EA,&,"$4,825.51",
OHS16,"Overhead door, 16' x 7' - softwood overlay",EA,&,"$4,923.33",
OHS16>,"Overhead door, 16' x 8' - softwood overlay",EA,&,"$5,595.92",
OHS18,"Overhead door, 18' x 7' - softwood overlay",EA,&,"$5,275.33",
OHS18>,"Overhead door, 18' x 8' - softwood overlay",EA,&,"$5,995.92",
OHTRAK,Overhead door track,LF,&,$6.57,
OHWD,Add for square window - overhead door - per window,EA,#ERROR!,$24.79,
OHWD+,Add for decorative window - overhead door - per window,EA,#ERROR!,$37.50,
PDA,Pet door - thru door - automatic,EA,&,$456.19,
PDA>,Pet door - thru door - automatic - Large,EA,&,$504.19,
PDDF,Pet door - thru door - double flap,EA,&,$183.18,
PDDF>,Pet door - thru door - double flap - Large,EA,&,$218.79,
PDSF,Pet door - thru door - single flap,EA,&,$146.05,
PDSF>,Pet door - thru door - single flap - Large,EA,&,$167.53,
PDWA,Pet door - thru wall - automatic,EA,&,$574.97,
PDWA>,Pet door - thru wall - automatic - Large,EA,&,$655.33,
PDWDF,Pet door - thru wall - double flap,EA,&,$455.52,
PDWDF>,Pet door - thru wall - double flap - Large,EA,&,$550.16,
PDWSF,Pet door - thru wall - single flap,EA,&,$380.82,
PDWSF>,Pet door - thru wall - single flap - Large,EA,&,$475.60,
PFD3,Door - Steel clad - pole frame - 3068,EA,&,$485.21,
PFD3L,Door - Steel clad - pole frame - 3068 - w/window,EA,&,$535.90,
PFD4,Door - Steel clad - pole frame - 4068,EA,&,$557.65,
PFDSL8,Sliding door - agricultural use - 7' high x 8' wide,EA,&,$744.65,
PFDSLE,Sliding door - agricultural use - 12' high x 14' wide,EA,&,"$1,214.27",
PFDSLE<,Sliding door - agricultural use - 12' high x 11' wide,EA,&,$943.42,
PFDSLE>,Sliding door - agricultural use - 12' high x 20' wide,EA,&,"$1,553.42",
PFDSLS,Sliding door - agricultural use - 12' high x 16' wide,EA,&,"$1,309.09",
PFDSLS>,Sliding door - agricultural use - 12' high x 24' wide,EA,&,"$2,091.05",
PKT,Pocket door unit - Colonist,EA,&,$199.68,
PKT-,Pocket door unit - lauan/mahogany,EA,&,$199.52,
PKT+,Pocket door unit - birch,EA,&,$209.91,
PKT++,Pocket door unit - panel,EA,&,$286.64,
PLN,Plane and refit door,EA,#ERROR!,$61.12,
PNL,Interior door - solid fir door w/paint-grade jamb & case,EA,&,$283.48,
PNL-,Interior door - panel - stain grade softwood - slab only,EA,&,$156.09,
PNL+,Interior door - solid fir door w/stain grade jamb & case,EA,&,$312.08,
PNLC,Interior door - clear grade pine/cedar,EA,&,$345.38,
PNLC-,Interior door - clear grade pine/cedar - slab only,EA,&,$222.72,
PNLD,Interior double door - paneled - softwood - pre-hung,EA,&,$536.43,
QUCR,Quonset Bldg. - Canister door (14' x 14'),EA,&,"$1,541.90",
QUMD,Quonset Bldg. - Entrance door frame kit at end panels,EA,&,$257.59,
QUSL,Quonset Bldg. - Sliding (bi-part) door (14' x 24'),EA,&,"$2,536.80",
R10-10,Roll-up door & hardware - 10' x 10' - 26 gauge,EA,&,$728.42,
R10-10+,Roll-up door & hardware - 10' x 10' - 22 gauge,EA,&,"$1,077.61",
