Category,Selection,Description
PLM,PSNKRS,Pedestal sink - Detach & reset
CLN,SNKPFA,Clean sink and faucet - pedestal
,,
PLM,TLT,Toilet
CLNTLT,TLT,Clean toilet
PLMTLTRS,TLTRS,Toilet - Detach & reset
PLMTLTS,TLTS,Toilet seat
PLMTLTFL,TLTFL,Toilet flange
CLNTLTS,TLTS,Clean toilet seat
FNHTP,TP,Toilet paper holder
PLMPLUG,PLUG,"Toilet/sink/drain plug - disposable - up to 4"""
PLMTLTP,TLTP,Add-on for pressure assisted toilet
,,
PLM,TUBS,Tub and shower combination
CLN,TSFA,Clean tub / shower faucet
PLM,FLD,Floor drain - tub/shower - metal/plastic
PLM,TSFAURS,Tub/shower faucet - Detach & reset
CLN,TUB,Clean tub
PNT,TUB,Refinish bathtub
MSD,SDOR,Shower door
PLM,SWFAU,Shower faucet
PLM,SWRB,Shower base
PLM,SWRPAN,Shower pan
CLN,TUBSUR,Clean tub and surround
CLN,SDOR,Clean shower door
FNH,SROD,Shower curtain rod
TBA,SB,Shower bench
,,
PLM,WH,Water heater
CLN,WH,Clean water heater
APP,WL,"Appliance water line - 1/4"""
MSK,WHDOR,Access door - water heater in mobile home
FRM,WHPF,Water heater platform - wood frame
PLM,WHB,Water heater blanket
PLM,WHR,Water heater - Reset
WTR,WHD,Water heater - Detach
PLM,WHPAN,Water heater overflow drain pan
PLM,WHPFM,Water heater platform - metal
,,
WDV,,Vinyl window
WDR,SCRN,"Window screen, 10 - 16 SF"
WDR,SCRN>,"Window screen, 17 - 25 SF"
PNT,DORT,Paint door/window trim & jamb - 2 coats (per side)
WDT,RU,Window shade - roll up
WDT,HWRS,Window drapery - hardware - Detach & reset
CLN,SCRN,Clean window screen
CLN,STOL,Clean window stool & apron
FNC,STOL,Window stool & apron
PNT,OP,Paint door or window opening - 2 coats (per side)
PNT,SILL,Seal & paint window sill
WDR,GRID,Add on for grid (double or triple pane windows)
WDT,BLNDRS,Window blind - horizontal or vertical - Detach & reset
WDT,HW,Window drapery - hardware
WDT,BLN1,"Window blind - PVC - 1"" - 7.1 to 14 SF"
WDT,BLN1>,"Window blind - PVC - 1"" - 14.1 to 20 SF"
FNC,SILLH,Window sill - hardwood
FNH,WLOCK,Window locks
PNT,WGRID,Paint wood window grid
SDG,WDWRAP,Wrap wood window frame & trim with aluminum sheet
SDG,WDWRAP>,Wrap wood window frame & trim with aluminum sheet - Large
FNC,WS,Window seat - paint grade
FNC,WS+,Window seat - hardwood
,,
,,
,fanito broski,call me
