,Code,Description,Unit,,,Category
453,GD-,Garbage disposer - Standard grade,EA,&,$181.45,
454,GD+,Garbage disposer - High grade,EA,&,$276.12,
455,GD++,Garbage disposer - Premium grade,EA,&,$436.04,
456,GDRS,Garbage disposer - Detach & reset,EA,#ERROR!,$99.14,
458,HD-,Range hood - Standard grade,EA,&,$122.55,
459,HD+,Range hood - High grade,EA,&,$227.35,
460,HD>,Range hood - oversized,EA,&,$234.25,
461,HD>-,Range hood - oversized - Standard grade,EA,&,$163.82,
462,HD>+,Range hood - oversized - High grade,EA,&,$330.43,
463,HDC,Range hood - copper,EA,&,"$2,354.94",
464,HDC+,Range hood - copper - High grade,EA,&,"$3,100.44",
465,HDC>,Range hood - copper - oversized,EA,&,"$3,711.87",
466,HDC>+,Range hood - copper - oversized - High grade,EA,&,"$4,047.08",
467,HDI,Range hood - add on cost for ceiling mount/island hood,EA,&,$399.06,
468,HDM,Range hood - mobile home,EA,&,$167.56,
469,HDRS,Range hood - Detach & reset,EA,#ERROR!,$57.14,
470,HDSS,Range hood - stainless steel,EA,&,"$1,810.44",
471,HDSS+,Range hood - stainless steel - High grade,EA,&,"$2,644.44",
472,HDSS>,Range hood - stainless steel - oversized,EA,&,"$2,610.87",
473,HDSS>+,Range hood - stainless steel - oversized - High grade,EA,&,"$3,011.87",
474,ICE,Ice machine with storage bin,EA,&,"$2,823.47",
475,ICERS,Ice machine with storage bin - Detach & reset,EA,#ERROR!,$120.58,
476,IM,"Ice maker appliance, 15"" wide - built-in",EA,&,"$1,365.84",
477,IM+,"Ice maker appliance, 15"" wide - built-in - High grade",EA,&,"$1,904.96",
478,IMDP,Ice maker drain pump,EA,&,$478.38,
479,IMRS,Ice maker - Detach and reset,EA,#ERROR!,$112.82,
480,KITSF,Kitchen Equipment - Commercial (per SF of kitchen),SF,#ERROR!,$174.24,
481,MISC,APPLIANCES,,#ERROR!,$0.00,
482,MWS,Microwave oven - over range w/built-in hood,EA,&,$368.37,
483,MWS-,Microwave oven - over range w/built-in hood - Standard grd,EA,&,$277.12,
484,MWS+,Microwave oven - over range w/built-in hood - High grade,EA,&,$790.87,
485,MWSRS,Microwave oven - over range type - Detach & reset,EA,#ERROR!,$77.08,
487,OVBI-,Built-in oven - Standard grade,EA,&,$713.07,
488,OVBI+,Built-in oven - High grade,EA,&,"$1,278.65",
489,OVBI++,Built-in oven - Premium grade,EA,&,"$2,433.82",
490,OVBID,Built-in double oven,EA,&,"$2,277.40",
491,OVBID-,Built-in double oven - Standard grade,EA,&,"$1,345.65",
492,OVBID+,Built-in double oven - High grade,EA,&,"$3,083.40",
493,OVBID++,Built-in double oven - Premium grade,EA,&,"$4,821.40",
494,OVBIRS,Built-in oven - Detach & reset,EA,#ERROR!,$132.05,
495,RF15,Refrigerator - top freezer - 14 to 18 cf,EA,&,$545.69,
496,RF14+,Refrigerator - top freezer - 14 to 18 cf - High grade,EA,&,$750.36,
497,RF14++,Refrigerator - top freezer - 14 to 18 cf - Premium grade,EA,&,"$1,056.11",
498,RF19,Refrigerator - top freezer - 18 to 22 cf,EA,&,$668.29,
499,RF18+,Refrigerator - top freezer - 18 to 22 cf - High grade,EA,&,$882.12,
500,RF18++,Refrigerator - top freezer - 18 to 22 cf - Premium grade,EA,&,"$1,158.40",
501,RF23,Refrigerator - top freezer - 22 to 24 cf,EA,&,$889.09,
502,RF22+,Refrigerator - top freezer - 22 to 24 cf - High grade,EA,&,$999.10,
503,RF22++,Refrigerator - top freezer - 22 to 24 cf - Premium grade,EA,&,"$1,069.09",
504,RF26,Refrigerator - top freezer - 24 to 26 cf,EA,&,"$1,148.10",
505,RF25+,Refrigerator - top freezer - 24 to 26 cf - High grade,EA,&,"$1,433.10",
506,RF25++,Refrigerator - top freezer - 24 to 26 cf - Premium grade,EA,&,"$1,953.10",
507,RF25+++,Refrigerator - top freezer - 24 to 26 cf - Deluxe grade,EA,&,"$2,039.08",
508,RFB19,Refrigerator - bottom freezer - 18 to 22 cf,EA,&,"$1,063.70",
509,RFB18+,Refrigerator - bottom freezer - 18 to 22 cf - High grade,EA,&,"$1,588.43",
